artist_song,like,bpm,energy,danceability,acousticness,camelot_sin,camelot_cos,camelot_AB,genre_기타,genre_댄스,genre_랩/힙합,genre_록/메탈,genre_발라드,genre_성인가요/트로트,genre_인디음악,genre_포크/블루스,target
선미 열이올라요 (Heart Burn),44597,122,66,84.0,3.0,-0.87,0.5,0,0,1,0,0,0,0,0,0,0
화사 Chili,53447,103,81,60.0,10.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0
댄스가수유랑단 Rainbow,237,154,91,72.0,15.0,-0.87,-0.5,0,0,1,0,0,0,0,0,0,0
화사 I Love My Body,53447,140,61,81.0,5.0,-0.87,0.5,0,0,1,0,0,0,0,0,0,0
레드벨벳 Chill Kill,212553,148,75,53.0,5.0,-0.5,-0.87,1,0,1,0,0,0,0,0,0,0
레드벨벳 빨간 맛 (Red Flavor) (Mar Vista Remix),212553,128,92,59.0,1.0,-1.0,-0.0,1,1,0,0,0,0,0,0,0,0
이찬혁 1조,12568,120,52,71.0,3.0,0.5,-0.87,1,0,0,0,1,0,0,0,0,0
서동현 infj,95396,80,77,70.0,23.0,0.87,-0.5,0,0,0,0,0,0,0,0,0,0
NCT 127 Be There For Me,197113,82,65,74.0,15.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0
김영석 Young K (DAY6) 환호,758,110,71,48.0,3.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0
이하이 성시경 골목길 (with 성시경),74506,110,71,48.0,3.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0
볼빨간사춘기 스노우볼,256553,172,29,25.0,94.0,-0.87,0.5,1,0,0,0,0,0,0,1,0,0
윈터 (WINTER) With You,21618,124,37,36.0,73.0,-1.0,-0.0,1,0,0,0,0,1,0,0,0,0
모어(more) 깊은 밤에 우리,447,140,46,40.0,41.0,0.5,-0.87,1,0,0,0,0,1,0,0,0,0
도겸 단발머리,36868,100,73,60.0,19.0,-0.87,0.5,1,0,0,0,0,1,0,0,0,0
임재현 비의 랩소디,15347,136,59,37.0,30.0,0.87,-0.5,1,0,0,0,0,1,0,0,0,0
그리즐리 (Grizzly) 와줘,16759,132,58,68.0,75.0,0.5,-0.87,1,0,0,0,0,0,0,0,0,0
BABYMONSTER BATTER UP,21017,130,69,90.0,7.0,-1.0,-0.0,0,0,0,1,0,0,0,0,0,0
DEAN DIE 4 YOU,148932,154,36,43.0,80.0,-0.87,0.5,0,0,0,0,0,0,0,0,0,0
aespa Drama,164293,131,87,64.0,16.0,-0.87,0.5,0,0,1,0,0,0,0,0,0,0
BOYNEXTDOOR Fadeaway,95870,172,93,48.0,4.0,0.87,0.5,1,0,1,0,0,0,0,0,0,0
ZEROBASEONE (제로베이스원) CRUSH (가시),61836,154,80,66.0,9.0,0.5,0.87,1,0,1,0,0,0,0,0,0,0
정국 Standing Next to You,177802,106,81,71.0,4.0,0.0,-1.0,0,0,1,0,0,0,0,0,0,0
소수빈 가잖아,21289,136,36,40.0,85.0,-0.5,0.87,1,0,0,0,0,1,0,0,0,0
VIVIZ (비비지) MANIAC,19445,115,57,76.0,19.0,-0.87,0.5,1,0,1,0,0,0,0,0,0,0
최유리 밤 바다,45385,125,29,41.0,87.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0
이무진 쉼표,70950,124,42,43.0,49.0,-1.0,-0.0,0,0,0,0,0,1,0,0,0,0
QWER Discord,29926,132,94,72.0,19.0,-0.5,-0.87,0,0,0,0,1,0,0,0,0,0
윤마치 (MRCH) 항복,6639,95,65,73.0,7.0,-0.87,0.5,1,0,0,0,0,0,0,1,0,0
IVE (아이브) Baddie,122650,160,68,74.0,5.0,0.0,-1.0,1,0,1,0,0,0,0,0,0,0
레드벨벳 Cosmic,212555,106,56,72.0,3.0,0.87,0.5,1,0,1,0,0,0,0,0,0,0
데이식스 녹아내려요,211282,103,65,65.0,2.0,-0.5,0.87,0,0,0,0,1,0,0,0,0,0
NCT DREAM When I'm With You,233625,117,90,75.0,1.0,0.5,-0.87,1,0,1,0,0,0,0,0,0,0
